id,movie,studio,days.in.theatres,daily.gross,gross.to.date,theatres,date,url
hobbit3,The Hobbit: The Battle of the Five Armies,WB (NL),20,1777417,222379434,"3,875",2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=hobbit3.htm
unbroken,Unbroken,Uni.,12,1420050,89071545,"3,190",2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=unbroken.htm
intothewoods,Into the Woods,BV,12,1316476,92188131,"2,538",2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=intothewoods.htm
nightatthemuseum3,Night at the Museum: Secret of the Tomb,Fox,18,932212,90779391,"3,802",2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=nightatthemuseum3.htm
womaninblack2,The Woman in Black 2: Angel of Death,Rela.,4,778133,15805548,"2,602",2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=womaninblack2.htm
annie2014,Annie (2014),Sony,18,734029,73194399,"3,166",2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=annie2014.htm
imitationgame,The Imitation Game,Wein.,39,632530,31104620,754,2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=imitationgame.htm
gambler,The Gambler,Par.,12,604857,28211123,"2,494",2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=gambler.htm
hungergames3,The Hunger Games: Mockingjay - Part 1,LGF,46,566745,324301247,"2,505",2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=hungergames3.htm
wild2014,Wild (2014),FoxS,34,384761,26265665,"1,361",2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=wild2014.htm
disney2014,Big Hero 6,BV,60,354315,211561351,"1,913",2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=disney2014.htm
exodus,Exodus: Gods and Kings,Fox,25,314801,61657736,"2,260",2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=exodus.htm
bigeyes,Big Eyes,Wein.,12,247864,10171889,"1,408",2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=bigeyes.htm
interstellar,Interstellar,Par.,62,225916,183028010,"1,048",2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=interstellar.htm
penguinsofmadagascar,Penguins of Madagascar,Fox,41,208647,78325427,"1,585",2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=penguinsofmadagascar.htm
topfive,Top Five,Par.,25,172336,23912661,"1,195",2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=topfive.htm
interview2014,The Interview (2014),Sony,12,104198,5064924,581,2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=interview2014.htm
americansniper,American Sniper,WB,12,100505,2329793,4,2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=americansniper.htm
theoryofeverything,The Theory of Everything,Focus,60,98968,24871318,651,2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=theoryofeverything.htm
horriblebosses2,Horrible Bosses 2,WB,41,95074,53158543,702,2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=horriblebosses2.htm
birdman,Birdman,FoxS,81,74793,25499361,282,2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=birdman.htm
selma,Selma,Par.,12,57202,2125655,22,2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=selma.htm
pk,P.K.,UTV,18,40104,9936227,221,2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=pk.htm
gonegirl,Gone Girl,Fox,95,33024,166759833,279,2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=gonegirl.htm
inherentvice,Inherent Vice,WB,25,26785,1489763,16,2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=inherentvice.htm
dumberto,Dumb and Dumber To,Uni.,53,26590,85419170,331,2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=dumberto.htm
stvincent,St. Vincent,Wein.,88,18464,43496710,402,2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=stvincent.htm
bookoflife14,The Book of Life (2014),Fox,81,16028,49580159,134,2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=bookoflife14.htm
nightcrawlers,Nightcrawler,ORF,67,13076,31996262,105,2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=nightcrawlers.htm
johnwick,John Wick,LG/S,74,9042,42934365,127,2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=johnwick.htm
mazerunner,The Maze Runner,Fox,109,8903,102250917,118,2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=mazerunner.htm
citizenfour,Citizenfour,RTWC,74,7753,2270962,49,2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=citizenfour.htm
laika2014,The Boxtrolls,Focus,102,6151,50624822,132,2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=laika2014.htm
homesman,The Homesman,Saban,53,5569,2278366,54,2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=homesman.htm
judge,The Judge,WB,88,3266,47066372,61,2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=judge.htm
islandoflemurs,Island of Lemurs: Madagascar (IMAX),WB,277,2250,8484879,40,2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=islandoflemurs.htm
bestofme,The Best of Me,Rela.,81,2136,26741895,42,2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=bestofme.htm
blackbird,Beyond the Lights,Rela.,53,1601,14566310,23,2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=blackbird.htm
meetthemormons,Meet the Mormons,Purd.,88,1474,6028143,11,2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=meetthemormons.htm
princesskaguya,The Tale of The Princess Kaguya,GK,81,1422,591821,11,2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=princesskaguya.htm
goodlie,The Good Lie,WB,95,943,2717932,16,2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=goodlie.htm
pyramid,The Pyramid,Fox,32,792,2707197,17,2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=pyramid.htm
mommy,Mommy,RAtt.,109,703,3309041,5,2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=mommy.htm
songofthesea,Song of the Sea,GK,18,668,66513,2,2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=songofthesea.htm
dearwhitepeople,Dear White People,RAtt.,81,386,4377008,8,2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=dearwhitepeople.htm
hiroshimamonamour,Hiroshima Mon Amour (2014 re-release),Rialto,81,60,88360,1,2015-01-05,http://www.boxofficemojo.com/movies/?page=daily&id=hiroshimamonamour.htm
hobbit3,The Hobbit: The Battle of the Five Armies,WB (NL),21,1929458,224308892,"3,875",2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=hobbit3.htm
unbroken,Unbroken,Uni.,13,1658800,90730345,"3,190",2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=unbroken.htm
intothewoods,Into the Woods,BV,13,1307951,93496082,"2,538",2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=intothewoods.htm
nightatthemuseum3,Night at the Museum: Secret of the Tomb,Fox,19,810145,91589536,"3,802",2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=nightatthemuseum3.htm
imitationgame,The Imitation Game,Wein.,40,793140,31897760,754,2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=imitationgame.htm
womaninblack2,The Woman in Black 2: Angel of Death,Rela.,5,722953,16528501,"2,602",2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=womaninblack2.htm
gambler,The Gambler,Par.,13,706446,28917569,"2,494",2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=gambler.htm
hungergames3,The Hunger Games: Mockingjay - Part 1,LGF,47,574943,324876190,"2,505",2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=hungergames3.htm
annie2014,Annie (2014),Sony,19,516590,73710989,"3,166",2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=annie2014.htm
wild2014,Wild (2014),FoxS,35,484207,26749872,"1,361",2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=wild2014.htm
exodus,Exodus: Gods and Kings,Fox,26,368766,62026502,"2,260",2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=exodus.htm
bigeyes,Big Eyes,Wein.,13,295001,10466890,"1,408",2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=bigeyes.htm
disney2014,Big Hero 6,BV,61,237629,211798980,"1,913",2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=disney2014.htm
interstellar,Interstellar,Par.,63,229976,183257986,"1,048",2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=interstellar.htm
topfive,Top Five,Par.,26,176888,24089549,"1,195",2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=topfive.htm
penguinsofmadagascar,Penguins of Madagascar,Fox,42,124445,78449872,"1,585",2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=penguinsofmadagascar.htm
theoryofeverything,The Theory of Everything,Focus,61,121074,24992392,651,2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=theoryofeverything.htm
interview2014,The Interview (2014),Sony,13,108006,5172930,581,2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=interview2014.htm
horriblebosses2,Horrible Bosses 2,WB,42,107027,53265570,702,2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=horriblebosses2.htm
americansniper,American Sniper,WB,13,89058,2418851,4,2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=americansniper.htm
birdman,Birdman,FoxS,82,83520,25582881,282,2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=birdman.htm
pk,P.K.,UTV,19,69336,10005563,221,2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=pk.htm
selma,Selma,Par.,13,52520,2178175,22,2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=selma.htm
gonegirl,Gone Girl,Fox,96,39917,166799750,279,2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=gonegirl.htm
inherentvice,Inherent Vice,WB,26,30360,1520123,16,2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=inherentvice.htm
dumberto,Dumb and Dumber To,Uni.,54,24685,85443855,331,2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=dumberto.htm
stvincent,St. Vincent,Wein.,89,22389,43519099,402,2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=stvincent.htm
nightcrawlers,Nightcrawler,ORF,68,12814,32009076,105,2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=nightcrawlers.htm
bookoflife14,The Book of Life (2014),Fox,82,10874,49591033,134,2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=bookoflife14.htm
johnwick,John Wick,LG/S,75,8973,42943338,127,2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=johnwick.htm
citizenfour,Citizenfour,RTWC,75,8768,2279730,49,2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=citizenfour.htm
homesman,The Homesman,Saban,54,7025,2285391,54,2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=homesman.htm
mazerunner,The Maze Runner,Fox,110,6994,102257911,118,2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=mazerunner.htm
judge,The Judge,WB,89,4409,47070781,61,2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=judge.htm
laika2014,The Boxtrolls,Focus,103,3780,50628602,132,2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=laika2014.htm
bestofme,The Best of Me,Rela.,82,2507,26744402,42,2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=bestofme.htm
islandoflemurs,Island of Lemurs: Madagascar (IMAX),WB,278,2415,8487294,40,2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=islandoflemurs.htm
blackbird,Beyond the Lights,Rela.,54,1596,14567906,23,2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=blackbird.htm
mommy,Mommy,RAtt.,110,1483,3310524,5,2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=mommy.htm
goodlie,The Good Lie,WB,96,1442,2719374,16,2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=goodlie.htm
myoldlady,My Old Lady,Cohen,119,896,4002803,6,2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=myoldlady.htm
pyramid,The Pyramid,Fox,33,870,2708067,17,2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=pyramid.htm
meetthemormons,Meet the Mormons,Purd.,89,735,6028878,11,2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=meetthemormons.htm
songofthesea,Song of the Sea,GK,19,638,67151,2,2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=songofthesea.htm
dearwhitepeople,Dear White People,RAtt.,82,579,4377587,8,2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=dearwhitepeople.htm
princesskaguya,The Tale of The Princess Kaguya,GK,82,474,592295,11,2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=princesskaguya.htm
hiroshimamonamour,Hiroshima Mon Amour (2014 re-release),Rialto,82,26,88386,1,2015-01-06,http://www.boxofficemojo.com/movies/?page=daily&id=hiroshimamonamour.htm
