id,movie,studio,days.in.theatres,daily.gross,gross.to.date,theatres,date,url
goodlie,The Good Lie,WB,91,5080,2707331,20,2015-01-01,http://www.boxofficemojo.com/movies/?page=daily&id=goodlie.htm
songofthesea,Song of the Sea,GK,14,4800,57232,2,2015-01-01,http://www.boxofficemojo.com/movies/?page=daily&id=songofthesea.htm
pyramid,The Pyramid,Fox,28,4442,2697361,27,2015-01-01,http://www.boxofficemojo.com/movies/?page=daily&id=pyramid.htm
rosewater,Rosewater,ORF,49,3196,3128941,15,2015-01-01,http://www.boxofficemojo.com/movies/?page=daily&id=rosewater.htm
meetthemormons,Meet the Mormons,Purd.,84,3066,6021912,10,2015-01-01,http://www.boxofficemojo.com/movies/?page=daily&id=meetthemormons.htm
mommy,Mommy,RAtt.,105,2777,3301057,4,2015-01-01,http://www.boxofficemojo.com/movies/?page=daily&id=mommy.htm
princesskaguya,The Tale of The Princess Kaguya,GK,77,1934,580460,8,2015-01-01,http://www.boxofficemojo.com/movies/?page=daily&id=princesskaguya.htm
dearwhitepeople,Dear White People,RAtt.,77,1124,4371827,7,2015-01-01,http://www.boxofficemojo.com/movies/?page=daily&id=dearwhitepeople.htm
elsaandfred2014,Elsa & Fred (2014),MNE,56,357,285863,2,2015-01-01,http://www.boxofficemojo.com/movies/?page=daily&id=elsaandfred2014.htm
kingandthemockingbird,The King and the Mockingbird,Rialto,42,253,25422,2,2015-01-01,http://www.boxofficemojo.com/movies/?page=daily&id=kingandthemockingbird.htm
hobbit3,The Hobbit: The Battle of the Five Armies,WB (NL),17,8301199,207171126,"3,875",2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=hobbit3.htm
womaninblack2,The Woman in Black 2: Angel of Death,Rela.,1,7746085,7746085,"2,602",2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=womaninblack2.htm
intothewoods,Into the Woods,BV,9,7434271,79577485,"2,538",2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=intothewoods.htm
unbroken,Unbroken,Uni.,9,7386425,76868080,"3,190",2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=unbroken.htm
nightatthemuseum3,Night at the Museum: Secret of the Tomb,Fox,15,5902061,81230966,"3,802",2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=nightatthemuseum3.htm
annie2014,Annie (2014),Sony,15,4551393,65760370,"3,166",2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=annie2014.htm
hungergames3,The Hunger Games: Mockingjay - Part 1,LGF,43,2985625,319160173,"2,505",2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=hungergames3.htm
imitationgame,The Imitation Game,Wein.,36,2955644,25655207,754,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=imitationgame.htm
gambler,The Gambler,Par.,9,2575454,23844606,"2,494",2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=gambler.htm
disney2014,Big Hero 6,BV,57,1864625,208316845,"1,913",2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=disney2014.htm
wild2014,Wild (2014),FoxS,31,1694996,23011807,"1,361",2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=wild2014.htm
exodus,Exodus: Gods and Kings,Fox,22,1416044,58941336,"2,260",2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=exodus.htm
penguinsofmadagascar,Penguins of Madagascar,Fox,38,1135493,76356506,"1,585",2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=penguinsofmadagascar.htm
bigeyes,Big Eyes,Wein.,9,957544,8271543,"1,408",2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=bigeyes.htm
interstellar,Interstellar,Par.,59,952015,181294038,"1,048",2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=interstellar.htm
topfive,Top Five,Par.,22,884948,22485412,"1,195",2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=topfive.htm
interview2014,The Interview (2014),Sony,9,439877,4315088,581,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=interview2014.htm
theoryofeverything,The Theory of Everything,Focus,57,409186,24075205,651,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=theoryofeverything.htm
horriblebosses2,Horrible Bosses 2,WB,38,377431,52512281,702,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=horriblebosses2.htm
birdman,Birdman,FoxS,78,319494,24883480,282,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=birdman.htm
pk,P.K.,UTV,15,272496,9421796,221,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=pk.htm
americansniper,American Sniper,WB,9,233719,1786098,4,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=americansniper.htm
selma,Selma,Par.,9,226661,1661941,22,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=selma.htm
gonegirl,Gone Girl,Fox,92,155178,166485334,279,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=gonegirl.htm
dumberto,Dumb and Dumber To,Uni.,50,119160,85202255,331,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=dumberto.htm
inherentvice,Inherent Vice,WB,22,86026,1297611,16,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=inherentvice.htm
stvincent,St. Vincent,Wein.,85,86004,43330934,402,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=stvincent.htm
fury2014,Fury (2014),Sony,78,72628,85388397,232,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=fury2014.htm
bookoflife14,The Book of Life (2014),Fox,78,58239,49448677,134,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=bookoflife14.htm
equalizer,The Equalizer,Sony,99,45146,101362220,148,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=equalizer.htm
nightcrawlers,Nightcrawler,ORF,64,42751,31908163,105,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=nightcrawlers.htm
mazerunner,The Maze Runner,Fox,106,37439,102180695,118,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=mazerunner.htm
laika2014,The Boxtrolls,Focus,99,30654,50565458,132,2015-01-02,http://www.boxofficemojo.com/movies/?page=daily&id=laika2014.htm
